captured_date,chart_name,genre,chart_type,rank,track_name,track_id,isrc,artist_name,artist_id,album_name,album_id,release_date,image_url
2026-08-22,日語新歌日榜,japanese,newrelease,20,鬼事,4r5aGIrgSSJLoDa-HJ,JPU902602529,中島健人,4r9gWlaU_yCH8JERCF,鬼事,TZppNaqfIu_YcYnckr,2026-07-17,"https://i.kfs.io/album/global/295722264,0v5/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,21,イチジク煙,KtemFEQ1IXgP0Pg1_U,JPPO02602568,永遠是深夜有多好。,SsJnqwFoPKLNQQOKH8,イチジク煙,Gn7OG0xHPEfOCFxtRJ,2026-07-06,"https://i.kfs.io/album/global/295296886,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,22,Suki - 日劇《你的喜歡是無敵的》主題曲,0tsT2uywKUfrAq-F7o,JPVI02602239,星野源,GkCf4OZnap2pKh3_gp,Suki,9a0nIQyTUhQp-0i4xL,2026-07-29,"https://i.kfs.io/album/tw/296444299,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,23,For us,9-GOKzavF6qQ1Tn8uA,JPZ672600042,&TEAM,XXhiGIoKvXP52RlJ9_,For us,8pgGrr88vmYiNkn90O,2026-08-01,"https://i.kfs.io/album/global/296441249,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,24,HOT LIMIT - From THE FIRST TAKE,GrDf5JCCk9Zkx9ggo5,JPU902602991,T.M.Revolution (西川貴教),LXHhkcxRSEf7SaOv1d,HOT LIMIT - From THE FIRST TAKE,OsQ4auEoqcVQb4hYAj,2026-07-22,"https://i.kfs.io/album/global/295931958,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,25,魚,DaowLKMZK9m6Ff20VV,JPB602601789,Atarayo,LaAq9CHPMgHOugWfV0,魚,HX2ykjLcRr3eM8dJwY,2026-07-22,"https://i.kfs.io/album/global/295914058,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,26,トンチンカン,GmBIolDj7q4F6N1gnC,JPPO02602686,AKASAKI,0ru2J7ru1BozQA36Hg,トンチンカン,SqLQ3Ny1KtRJQVEEmP,2026-07-23,"https://i.kfs.io/album/global/295978314,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,27,マイオンリー,5Z9B8XOxsZjzumFDrR,JPU902602451,SixTONES,LZ9jdqV1w4lbg3tkxa,マイオンリー,Ct--_B63oP3rMuYFfe,2026-07-12,"https://i.kfs.io/album/global/295315191,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,28,Amore,OnY3Rmhro9axPIO2r-,JPU902602318,ReoNa,5-_nqdV88AiCIx-xqM,Amore,T-CK9TiAZiJJWWrk7f,2026-07-08,"https://i.kfs.io/album/global/294935883,0v6/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,29,Hurricane,5XbNuoV_ELRudrqxb0,JPU902602729,milet,GlHwvl8JxUb98BqzNI,Hurricane,T_k9tSiL5SlJ8MX6sK,2026-08-05,"https://i.kfs.io/album/global/296289324,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,30,Shooting Star,Kmh2CWU4R1boMqCpxl,JPVI02601724,ロクデナシ,GkrtPeZ3ap2pJx5UQo,Shooting Star,CkUelBhjW4Ta2YEqEy,2026-07-15,"https://i.kfs.io/album/global/295619611,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,31,消えない花火,XYBP30XyJrx2HsciTb,JPPO02601765,timelesz,8kVJJKS0C4BFXZRRjq,消えない花火,8rjpDKU7LZoqN_SR1d,2026-07-29,"https://i.kfs.io/album/global/296196493,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,32,大空港,5_8-9atDMf04iJYeHK,JPU902602693,離婚伝説,-sxCHTk3lhBTxRObUp,大空港,OqzHGzbVHgkGi8-di0,2026-07-24,"https://i.kfs.io/album/global/295638277,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,33,If You're Mine,PazRUylqWKr82Y2-zP,JPWP02670349,PSYCHIC FEVER from EXILE TRIBE,4n8nRA-q2KLL6P-mR5,DIFFERENT,8kfEqytuGTiCLdzsQa,2026-07-10,"https://i.kfs.io/album/global/293964307,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,34,Palm Tree,GtywU4Zu-2a58NK-hr,JPZ672600037,TWS,LX1IZbxhSEf7TZSs2v,SODA SODA,WsVBIjeTjmG2AB9ut1,2026-08-04,"https://i.kfs.io/album/global/296466285,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,35,CRIMSON BULLET,HYZg-TcIzKb7cH7lld,JPKI02613080,水樹奈奈,-t6kO9TrdRktAbGDtj,CRIMSON BULLET,_aL7Biv-DpNo4q1Jiy,2026-07-08,"https://i.kfs.io/album/global/295043366,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,36,YO-I-DON!,LXqitliRU4Yl7m9nMv,JPB602601662,NCT WISH,GtuTr7-1w6HSDA4yhU,YO-I-DON! / BOY MEETS GIRL,Da94PVBOnP603JKC0W,2026-07-13,"https://i.kfs.io/album/global/295593202,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,37,WHATCHA DOIN,CqW8_tQiUh-7_XmHU_,QMBZ92644306,JO1,KlfAieYhd1n-C6FD_H,WHATCHA DOIN,KsZLZdJOdkIB9Fyut-,2026-07-24,"https://i.kfs.io/album/global/295349299,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,38,Clover,Kn4GP9gMKmKv60MGkk,JPU902602207,汐れいら,GoOqn6Y8PJM_ujzXdK,Clover,LaT_lHQMR5JlnfPOng,2026-07-11,"https://i.kfs.io/album/global/295183870,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,39,ハナセナイ,GnfdnayGJNIVIg23Uc,JPI102602173,Nowlu,_XOCGwdWrOJknHXXkZ,ハナセナイ,Op9XA8IQB1A8-hyIqD,2026-07-28,"https://i.kfs.io/album/global/295629971,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,40,TIRED,OoUt7_oa32AqY__v8j,JPB602601528,SIRUP,WrkLKPd2I7VXev-FlF,TIRED,9XxPrAgHC0_tkNWw8E,2026-07-22,"https://i.kfs.io/album/global/295914152,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,41,晴々,KmxEukU4R1boNZVZaM,JPU902602687,綠黃色社會,4sS3B4dLYqFkBnoZSR,晴々,X-e_ci9Z0SAEn7oPA3,2026-07-31,"https://i.kfs.io/album/global/296075355,0v3/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,42,haneto feat. 友成空,4ocG5J_6tWt5lYewLF,JPB602601881,猴子把戲,HXFqITKP8cmeFWd-mo,haneto feat. 友成空,Kn8AN2xJbvUVKuldnT,2026-07-29,"https://i.kfs.io/album/global/296228838,0v1/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,43,"If I'm S, Can You Be My N? - Japanese ver.",OrSX0dBVf78HV6ft4c,JPZ672600038,TWS,LX1IZbxhSEf7TZSs2v,SODA SODA,WsVBIjeTjmG2AB9ut1,2026-08-04,"https://i.kfs.io/album/global/296466285,0v2/fit/160x160.jpg"
2026-08-22,日語新歌日榜,japanese,newrelease,44,かけ足族,5XVnypV_ELRuceMD7i,JP92L2606280,Yo-Sea,Ks424Z53FpT3XOhyAt,Beyond the Sea,Wq29KI94G8C8m7hVqc,2026-07-28,"https://i.kfs.io/album/global/296325940,0v6/fit/160x160.jpg"
